Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Duração média da visualização,Porcentagem visualizada média (%),Hypes
Total,,,,23473,0:00:27,50.62,0
H48F8ihPUU8,🌅 Versículo do dia 58,"Mar 28, 2026",10,2285,0:00:12,124.38,0
51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,2204,0:00:16,203.34,0
w7z6NYaj_f8,Versículo do dia 52 #bliblia #mensagem #salmos145,"Mar 22, 2026",7,1869,0:00:14,212.02,0
PQZ6y-i4jRI,Versículo do dia 40,"Mar 10, 2026",16,1788,0:00:22,142.57,0
0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,1496,0:00:15,159.5,0
n4mDOg9q7xY,Versículo do dia 41,"Mar 10, 2026",16,1379,0:00:21,135.39,0
2Y4q98L3x-4,🌅 Versículo do dia 51 #bliblia #mensagem #salmos145,"Mar 21, 2026",11,1348,0:00:16,154.38,0
nmDx803XAm0,Versículo do dia 42,"Mar 12, 2026",19,1292,0:00:27,143.07,0
Zf5QFckCEC8,🌅 Versículo do dia 57 #bliblia #amor #deustemumapalavrapravoce,"Mar 27, 2026",10,1067,0:00:12,124.87,0
1frHYZVcqaA,🌅 Versículo do dia 63 #bliblia #mensagem #entendendoabiblia #deustemumapalavrapravoce,"Apr 2, 2026",13,1004,0:00:21,167.28,
WWbJQknNIxk,Versículo do dia 38,"Mar 8, 2026",17,996,0:00:20,119.57,0
w3m2LkMP0sQ,Versículo do dia 36 #bliblia #mensagem #salmos,"Mar 6, 2026",24,981,0:00:32,135.84,0
 -p5v4zK3cMo,Versículo do dia 46 #mensagem #salmos145 #fe,"Mar 16, 2026",10,957,0:00:18,186.83,0
JfBXXAmWmIY,🌅 Versículo do dia 59,"Mar 29, 2026",18,939,0:00:27,153.53,0
lM95uAi9Jtw,Versículo do dia 49 #bliblia #motivacional #salmos145,"Mar 19, 2026",14,519,0:00:11,81.4,0
FvwOPRHL31g,Versículo do dia 53 #bliblia #mensagem #salmos145,"Mar 23, 2026",8,507,0:00:10,129.57,0
LBu3Hxu-YKg,🌅 Versículo do dia 50 #bliblia #mensagem #salmos145,"Mar 20, 2026",12,450,0:00:15,133.22,0
0ktzP1im0zk,Versículo do dia 45 #bliblia #mensagem #salmos145,"Mar 15, 2026",10,313,0:00:12,124.22,0
INHmSThybBc,Versículo do dia 43 #bliblia #mensagem #salmos145,"Mar 13, 2026",13,284,0:00:12,93.83,0
