Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações
2026-03-06,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-07,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-08,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-09,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-10,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-11,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-12,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-13,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-14,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-15,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-16,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-17,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-18,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-19,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-20,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-21,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-22,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-23,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-24,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-25,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,614
2026-03-26,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,827
2026-03-27,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,25
2026-03-28,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,26
2026-03-29,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,4
2026-03-30,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-31,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-04-01,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-04-02,0N_XeHu2PiI,Versículo do dia 55 #bliblia #mensagem #deustemumapalavrapravoce,"Mar 25, 2026",10,0
2026-03-06,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-07,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-08,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-09,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-10,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-11,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-12,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-13,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-14,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-15,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-16,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-17,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-18,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-19,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-20,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-21,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-22,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-23,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-24,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-25,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
2026-03-26,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,1514
2026-03-27,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,353
2026-03-28,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,320
2026-03-29,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,13
2026-03-30,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,3
2026-03-31,51kQFtttZDU,Versículo do dia 56 #bliblia #amor #deustemumapalavrapravoce,"Mar 26, 2026",8,0
